"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.theperfectlawn.com/,100,100,100,100,0.7 s,0.8 s,0,0 ms,0.7 s,0.9 s,791,93,100,100,100,0.2 s,0.4 s,0,0 ms,0.7 s,0.9 s,791,04/26/2024
https://www.theperfectlawn.com/services/artificial-grass-maintenance/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,469,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,469,04/26/2024
https://www.theperfectlawn.com/services/putting-green-turf/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,538,99,96,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,538,04/26/2024
https://www.theperfectlawn.com/services/pet-turf/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,566,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,566,04/26/2024
https://www.theperfectlawn.com/about/privacy-policy/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,463,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,463,04/26/2024
https://www.theperfectlawn.com/services/synthetic-grass-installation-dallas/,98,100,100,100,0.4 s,0.7 s,0,170 ms,0.7 s,0.7 s,726,95,100,100,100,0.2 s,0.4 s,0,170 ms,0.7 s,0.7 s,726,04/26/2024
https://www.theperfectlawn.com/about/reviews/,97,100,100,100,0.4 s,0.5 s,0,200 ms,0.6 s,0.7 s,1033,97,100,100,100,0.2 s,0.3 s,0,200 ms,0.6 s,0.7 s,1033,04/26/2024
https://www.theperfectlawn.com/blog/sports-turf/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,517,100,100,100,100,0.1 s,0.2 s,0,0 ms,0.5 s,0.5 s,517,04/26/2024
https://www.theperfectlawn.com/blog/putting-green/,100,100,100,100,0.4 s,0.5 s,0,80 ms,0.6 s,0.5 s,515,100,100,100,100,0.2 s,0.3 s,0,80 ms,0.6 s,0.5 s,515,04/26/2024
https://www.theperfectlawn.com/blog/artificial-grass/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.6 s,647,97,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,647,04/26/2024
https://www.theperfectlawn.com/services/artificial-grass-installation/,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.7 s,574,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.6 s,0.7 s,574,04/26/2024
https://www.theperfectlawn.com/faq/pet-turf-faq/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,495,99,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,495,04/26/2024
https://www.theperfectlawn.com/services/turf-backyard/,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.6 s,615,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.6 s,0.6 s,615,04/26/2024
https://www.theperfectlawn.com/service-locations/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,1455,100,100,100,100,0.3 s,0.3 s,0.005,0 ms,0.5 s,0.6 s,1455,04/26/2024
https://www.theperfectlawn.com/about/,99,100,100,100,0.4 s,0.5 s,0,100 ms,0.6 s,0.6 s,540,98,100,100,100,0.2 s,0.3 s,0,100 ms,0.6 s,0.6 s,540,04/26/2024
https://www.theperfectlawn.com/artificial-grass-projects/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,564,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.6 s,564,04/26/2024
https://www.theperfectlawn.com/services/landscape-design/,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.5 s,0.6 s,448,100,100,100,100,0.2 s,0.3 s,0.011,0 ms,0.5 s,0.6 s,448,04/26/2024
https://www.theperfectlawn.com/services/,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,593,99,100,100,100,0.2 s,0.4 s,0,0 ms,0.5 s,0.5 s,593,04/26/2024
https://www.theperfectlawn.com/blog/landscaping/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,0.6 s,623,97,100,100,100,0.2 s,0.4 s,0,0 ms,0.6 s,0.6 s,623,04/26/2024
https://www.theperfectlawn.com/blog/artificial-pet-turf/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,0.6 s,527,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.6 s,0.6 s,527,04/26/2024
https://www.theperfectlawn.com/html-sitemap/,100,100,100,99,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,569,100,100,100,100,0.1 s,0.2 s,0,0 ms,0.5 s,0.5 s,569,04/26/2024
